Metrics,Results
Accuracy,0.7934782608695652
F1-Score,0.8173076923076923
Recall,0.8333333333333334
Precision,0.8018867924528302
Sensitivity,0.8333333333333334
Specificity,0.7439024390243902
MCC,0.5805772519186944
AUC,0.8715327594452414
