Metrics,Results
Accuracy,0.8315217391304348
F1-Score,0.8558139534883721
Recall,0.9019607843137255
Precision,0.8141592920353983
Sensitivity,0.9019607843137255
Specificity,0.7439024390243902
MCC,0.6594458988349826
AUC,0.9044715447154471
