Metrics,Results
Accuracy,0.8097826086956522
F1-Score,0.8341232227488151
Recall,0.8627450980392157
Precision,0.8073394495412844
Sensitivity,0.8627450980392157
Specificity,0.7439024390243902
MCC,0.6136200901643467
AUC,
