Metrics,Results
Accuracy,0.8043478260869565
F1-Score,0.8285714285714286
Recall,0.8529411764705882
Precision,0.8055555555555556
Sensitivity,0.8529411764705882
Specificity,0.7439024390243902
MCC,0.6024886789428129
AUC,0.9033955045432807
