Metrics,Results
Accuracy,0.7771739130434783
F1-Score,0.8038277511961722
Recall,0.8235294117647058
Precision,0.7850467289719626
Sensitivity,0.8235294117647058
Specificity,0.7195121951219512
MCC,0.5471455436735193
AUC,
