Metrics,Results
Accuracy,0.8586956521739131
F1-Score,0.8773584905660378
Recall,0.9117647058823529
Precision,0.8454545454545455
Sensitivity,0.9117647058823529
Specificity,0.7926829268292683
MCC,0.7140744986854203
AUC,0.916547106647537
