Metrics,Results
Accuracy,0.8586956521739131
F1-Score,0.875
Recall,0.8921568627450981
Precision,0.8584905660377359
Sensitivity,0.8921568627450981
Specificity,0.8170731707317073
MCC,0.7133355961851067
AUC,0.9206121472979435
