Metrics,Results
Accuracy,0.7989130434782609
F1-Score,0.8177339901477833
Recall,0.8137254901960784
Precision,0.8217821782178217
Sensitivity,0.8137254901960784
Specificity,0.7804878048780488
MCC,0.5935395233295873
AUC,0.8717718794835007
