Metrics,Results
Accuracy,0.8315217391304348
F1-Score,0.8502415458937198
Recall,0.8627450980392157
Precision,0.8380952380952381
Sensitivity,0.8627450980392157
Specificity,0.7926829268292683
MCC,0.658148391079866
AUC,0.91110712577714
