Metrics,Results
Accuracy,0.842391304347826
F1-Score,0.861244019138756
Recall,0.8823529411764706
Precision,0.8411214953271028
Sensitivity,0.8823529411764706
Specificity,0.7926829268292683
MCC,0.6801373270763298
AUC,0.9175035868005739
