Metrics,Results
Accuracy,0.8206521739130435
F1-Score,0.8307692307692308
Recall,0.7941176470588235
Precision,0.8709677419354839
Sensitivity,0.7941176470588235
Specificity,0.8536585365853658
MCC,0.6439762016860308
AUC,0.8916786226685797
